title;source_document_url;type;name;uuid;language;published_at;length
Review of Norwegian Support to Agriculture and Agri-Business in Bosnia-Herzegovina and Kosovo;;Evaluering;Norsk institutt for by- og regionforskning|NIBR|Norsk institutt for by- og regionforskning (NIBR);0d84de3d-d3f1-487f-a287-baa9476646e6;eng;2011-01-01 00:00:00;236906
Mulighetsstudie for Nasjonalgalleriet;https://www.regjeringen.no/contentassets/cd9fbc7e8e39465d96293b98edd3e6ae/rapport-mulighetsstudie-nasjonalgalleriet---forste-del---24-sept-2020.pdf;Forhåndsutredning;Sparebankstiftelsen|DNB|Nasjonalmuseet;0d8c33c4-0325-48b4-9112-354ff8e5887e;no;2020-09-24 20:11:14;90173
Endringer i regelverket for rehabiliteringspenger fra 1. januar 2004;;Evaluering;Rikstrygdeverket;0d8c8a70-1cf2-494c-929f-16d01094aa31;nob;2005-01-01 00:00:00;87247
Stø på havet;;Evaluering;Oxford Research AS;0da0641e-dd51-47f0-9ea4-05d5ee4ed9f5;nob;2012-01-01 00:00:00;611037
Subsidiemodellen innenfor boligtilskuddet;;Evaluering;Norsk institutt for by- og regionforskning;0da25fcb-bcd5-48ed-a8a7-29fb3c0b3030;nob;2007-01-01 00:00:00;445353
Lønnsspredning, lederlønninger og andre topplønninger i det norske arbeidsmarkedet;;Evaluering;Institutt for samfunnsforskning;0db1bea0-5dd6-496a-a532-c4c8e45a8b39;nob;2009-01-01 00:00:00;348407
Fartsdempende tiltak i gangfelt;;Evaluering;TØI Transportøkonomisk Institutt|Transportøkonomisk institutt|Transportøkonomisk institutt (TØI)|TØI;0dc15653-55b4-4c7a-8e7d-4fe09349213c;nob;2009-01-01 00:00:00;108404
Transportordningen for funksjonshemmede (TT-ordningen) - Status 2018;https://www.regjeringen.no/contentassets/31f7ef58bd65489ea97a96b135a10a24/tt-rapport_-128_2019_tt-rapport_endelig.pdf;Statusrapport;Urbanet Analyse;0dd8db01-547a-46f8-be96-12739cc60883;no;2020-01-23 20:11:31;171132
Psykisk utviklingshemmede i inntektssystemet;https://www.regjeringen.no/contentassets/b951783475ad47caa7e29952c5cfdfcf/rapport_psykisk_utviklingshemmede_i_inntektssystemet.pdf;Forhåndsutredning;AGENDA Kaupang|Oslo Economics;0de10614-81a9-4499-a8b9-3ae7557895ae;no;2017-09-18 20:08:33;128803
Miljøvennlige og attraktive tettsteder i distriktenen;;Evaluering;Agderforskning|Nord-Trøndelagsforskning;0deae5a6-22a1-4342-94f1-048c37136340;nob;2005-01-01 00:00:00;199945
Riksrevisjonens oppfølging av forvaltningsrevisjoner som er behandlet av Stortinget;;Riksrevisjonsrapport;Riksrevisjonen;0df2be5f-db0b-400f-bbf1-411035521e6e;nob;2010-01-01 00:00:00;206147
"Evaluering av erfaringer og praksis
knyttet til tilvisnings- og tildelings-
avtaler";http://biblioteket.husbanken.no/arkiv/dok/Komp/Evaluering%20av%20erfaringer%20og%20praksis%20knyttet%20til%20tilvisnings%20og%20tildelingsavtaler.pdf;Evaluering;SØA;0dfa6ce2-ec5c-4636-9013-09576b2687e1;no;2020-01-01 20:20:10;147831
Norsk politi i Schengen;https://www.politiet.no/globalassets/05-om-oss/internasjonalt/norsk-politi-i-schengen.pdf;Kunnskapsoppsummering;Politidirektoratet|POD;0dfb49e1-3aa6-48c3-bf97-e389633a67c6;no;2016-12-01 20:05:53;349951
Konseptvalgutredning (KVU) E6 Fauske - Mørsvikbotn;https://www.regjeringen.no/contentassets/a2881ca4c23d465186081ad657993841/kvufauskemorsvikbotne62015.pdf;KVU/KS1/KS2;"Statens vegvesen|Statens vegvesen Vestfold|Statens vegvesen Buskerud|Statens vegvesen Vegdirektoratet|Statens vegvesen. Vegdirektoratet|Statens vegvesen Vest-Agder|Statens vegvesen. Nord-Trøndelag|Statens vegvesen Region midt|Staten vegvesen|Statens vegvesen. Hordaland vegkontor|Statens vegvesen. Region øst|Statens vegvesen. Møre og Romsdal ; Vegdirektoratet|Statens vegvesen. Region vest|Statens vegvesen Telemark|Vegdirektoratet ; Statens vegvesen. Vestfold|ITA-arbeidsgruppen ""Helse og sikkerhet""|Statens vegvesen Buskerud, Vestfold og Telemark|Statens vegvesens|Statens vegvesen Østfold|Statens vegvesen ... [et al.]|NTNU ; Statens vegvesen|Statens vegvesen. Region nord|Statens vegvesen. Akershus|Statens vegvesen Region øst|Statens vegvesen, Region vest|Statens vegvesen, Region nord|Statens vegvesen, Region sør|Statenes vegvesen Region midt |Vegvesenet|Statens vegvesen. Region sør|PROSAM / Statens vegvesen. Region Øst|[Statens vegvesen]|Statens vegvesen. Aust-Agder|Statens vegvesen. Sogn og Fjordane|Statens vegvesen. Region midt|Statens vegvesen/Norwegian Public Road Administration (NPRA)|Statens vegvesen Oslo vegkontor";0dfc7655-d636-4c6b-826d-c34ec1b6ffde;no;2015-02-11 20:07:10;116035
Risiko knyttet til operasjoner som gjennomføres ved bruk av fartøy i petroleumsvirksomheten på norsk sokkel;https://www.ptil.no/contentassets/80f34312b3254e019800a2d19fba6a49/risiko-ved-fartoyoperasjoner-i-petroleumsvirksomheten_rapport.pdf;Evaluering;Lloyd's Register;0e0ab01e-94f5-4e9e-af35-1703b5c115f8;no;2018-01-01 20:17:30;240713
Norsk kulturminnefond som statlig forvaltningsorgan- en evaluering;;Evaluering;Norsk institutt for by- og regionforskning|NIBR|Norsk institutt for by- og regionforskning (NIBR);0e11e8a6-b9a5-4c8b-bc37-79a495e3ed83;nob;2016-01-01 00:00:00;180729
Overvåking av elvemusling i Norge - årsrapport for 2006 og 2007;;Evaluering;Norsk institutt for naturforskning;0e238aa3-95f9-45b1-a90d-031b96407c9b;nob;2008-01-01 00:00:00;144368
Gjennomgang av Norsk kulturråd;;Evaluering;Evalueringskomité/Utvalg;0e3e1017-208e-4bd6-abdd-6ddde265fcf9;nob;2014-01-01 00:00:00;223084
Riktig eller viktig?;https://www.regjeringen.no/contentassets/df92f4074c4e460eb617145cc09b4428/v-0979b_riktig_eller_viktig_2015.pdf;Evaluering;Fagpanel;0e487e9a-dda4-475e-a54a-4ce20a0b5972;no;2015-06-18 20:06:55;125024
Den ene dagen;;Evaluering;Lillegården kompetansesenter;0e5b6cec-8d21-404f-9176-bd698ef02cb9;nob;2009-01-01 00:00:00;278072
Samfunnsøkonomiske effekter av universell utforming;;Evaluering;Norsk institutt for by- og regionforskning|Norges byggforskningsinstitutt;0e5dc942-6d59-4d8e-8151-bbb6c577cd5c;nob;2006-01-01 00:00:00;352077
Hva tiltakspakkene for kollektivtransport har lært oss;;Evaluering;TØI Transportøkonomisk Institutt|Transportøkonomisk institutt|Transportøkonomisk institutt (TØI)|TØI;0e731c77-2b26-404b-8e7d-7a06969f0b97;nob;2005-01-01 00:00:00;160014
Organisering av museene;;Evaluering;Arbeidsforskningsinstituttet (AFI);0e86c73f-e1c0-47f1-b3c4-626637a508c2;nob;2013-01-01 00:00:00;152899
Riksrevisjonens undersøkelse av salget av Lista flystasjon;;Riksrevisjonsrapport;Riksrevisjonen;0e86eefd-7d02-4553-869d-5305bff6a836;nob;2005-01-01 00:00:00;155622
Bedre mobiltjenester på tog;;Evaluering;Nexia International;0e8e5f85-1faf-4c64-8033-e557f45b9a73;nob;2015-01-01 00:00:00;113291
Effekter av krav om forsørgelsesevne ved familiegjenforening;;Evaluering;Frischsenteret;0e91f2ed-9056-497f-accc-a0ec5b754c69;nob;2010-01-01 00:00:00;120574
Fra fintelling av studiepoeng til læringsutbytte?;https://www.nokut.no/contentassets/9989482e51f1473786a8037c4b71b46d/lundgren_andrea_jorgensen_valborg_h_fra_fintelling_av_studiepoeng_til_laringsutbytte_04-2015-1.pdf;Evaluering;Arbeidsgruppe;0ea73855-f48e-4868-82c6-8cc6573487e2;no;2015-01-01 20:12:38;108178
Arbeidslivskriminalitet i bilpleiebransjen i Oslo og Akershus;https://www.skatteetaten.no/globalassets/om-skatteetaten/analyse-og-rapporter/rapporter/akrim_bilpleie_web.pdf;Statusrapport;A-krimsenteret;0eac5334-5acb-4e74-8a65-647f7196aadb;no;2019-01-01 20:12:36;38069
Evaluering av NAV-reformen;;Evaluering;Norges Forskningsråd|Norges forskningsråd/Noregs forskingsråd|Noregs forskingsråd/Norges forskningsråd|Forskningsrådet|Noregs forskingsråd;0eac6124-7cce-4037-bef7-1d572399dcef;nob;2009-01-01 00:00:00;26941
Kartlegging av språkstimulering og språkkartlegging i kommuene;;Evaluering;Rambøll Management;0ec52030-ce44-4dfa-8ca8-b9491bb7c7bf;nob;2008-01-01 00:00:00;209113
Analyse av hvilken effekt tildeling av FRIPRO-midler har på forskernes vitenskapelige produksjon;;Evaluering;Norsk regnesentral;0ec70552-e9d4-482a-872b-9fb073ed3939;nob;2018-01-01 00:00:00;80276
Institusjonelle kvalitetssystemer i høyere utdanning;;Evaluering;NIFU STEP;0edae76d-ba42-450c-bfbe-eb5daa2e9300;nob;2006-01-01 00:00:00;77217
Personer på velferdsytelser utenfor arbeidslivet;https://www.regjeringen.no/globalassets/upload/asd/dokumenter/2014/rapporter/rapport_personer_paa_velferdsytelser_utenfor_arbeidslivet_ssb.pdf;Kartlegging;SSB;0efc9d36-eee0-4cc6-94c2-987ab5c930e7;no;2014-11-06 00:00:00;135033
Samfunnsøkonomisk analyse av forbedring av farleden inn til Farsund – med oppdaterte forutsetninger;;Forhåndsutredning;Vista Analyse ;0efeff75-afd4-401b-a9fe-dcf7a9a1ca81;nob;2015-01-01 00:00:00;95973
Riksrevisjonens undersøkelse av om offentlige tiltak utredes på en tilfredsstillende måte;;Riksrevisjonsrapport;Riksrevisjonen;0f02c629-1bfe-436d-a068-ebecb76f6e8a;nob;2013-01-01 00:00:00;121819
KS1 Arna - Bergen : dobbeltspor Arna-Fløen (jernbane) og Arnatunnel (veg);;KVU/KS1/KS2;"Statens vegvesen|Statens vegvesen Vestfold|Statens vegvesen Buskerud|Statens vegvesen Vegdirektoratet|Jernbaneverket|Statens vegvesen. Vegdirektoratet|Statens vegvesen Vest-Agder|Statens vegvesen. Nord-Trøndelag|Statens vegvesen Region midt|Staten vegvesen|Statens vegvesen. Hordaland vegkontor|Statens vegvesen. Region øst|Statens vegvesen. Møre og Romsdal ; Vegdirektoratet|Statens vegvesen. Region vest|Statens vegvesen Telemark|Vegdirektoratet ; Statens vegvesen. Vestfold|ITA-arbeidsgruppen ""Helse og sikkerhet""|Statens vegvesen Buskerud, Vestfold og Telemark|Statens vegvesens|Statens vegvesen Østfold|Statens vegvesen ... [et al.]|NTNU ; Statens vegvesen|Statens vegvesen. Region nord|Statens vegvesen. Akershus|Statens vegvesen Region øst|Statens vegvesen, Region vest|Statens vegvesen, Region nord|Statens vegvesen, Region sør|Statenes vegvesen Region midt |Vegvesenet|Statens vegvesen. Region sør|PROSAM / Statens vegvesen. Region Øst|[Statens vegvesen]|Statens vegvesen. Aust-Agder|Statens vegvesen. Sogn og Fjordane|Statens vegvesen. Region midt|Statens vegvesen/Norwegian Public Road Administration (NPRA)|Statens vegvesen Oslo vegkontor";0f2ebc42-d433-4cfb-9bca-683a7be29fa0;nob;2007-01-01 00:00:00;0
Utredning om trinnfri adkomst til inntrukne takterrasser;https://dibk.no/globalassets/byggeregler/tek10-til-tek17/rapporter/utredning-om-trinnfri-adkomst-til-inntrukne-takterrasser_multiconsult.pdf;Forhåndsutredning;Multiconsult;0f30aae3-8968-4200-b0ef-a469c46e6d41;no;2015-01-01 20:17:34;39263
Den nye arbeidsplassen : arbeid, helse og deltakelse i det nye arbeidslivet;;Evaluering;Rogalandsforskning;0f32c4bc-f253-4af9-9bf1-a66ddef8ea59;nob;2005-01-01 00:00:00;67300
Handelslokalisering og transport;;Evaluering;TØI Transportøkonomisk Institutt|Transportøkonomisk institutt|Transportøkonomisk institutt (TØI)|TØI;0f33ce81-741d-4b0b-9ad3-d62b051a191e;nob;2010-01-01 00:00:00;172538
NMoF Fixed Income Review;;Evaluering;Konsulenter;0f36731a-a00c-477b-b8d0-f35d644a9577;eng;2011-01-01 00:00:00;212400
Nyskaping og teknologiutvikling i Nord-Norge;;Evaluering;STEP;0f5016ad-334d-4278-8494-6e4b4b3b5e68;nob;1996-01-01 00:00:00;383093
Kartlegging av sjøbunn med sedimentprofilbilder (SPI) i indre Oslofjord knyttet til mudring og tildekking i Oslo havn og dypvannsdeponering ved Malmøykalven - 2009;;Evaluering;Norsk institutt for vannforskning;0f61500b-4328-4ed9-973c-b8a0e6e4fcfb;nob;2010-01-01 00:00:00;52424
Evaluering av skattereformen 2006;;Evaluering;Finansdepartementet|FIN;0f686dda-f738-44dc-9b9c-8c897bf381f6;nob;2011-01-01 00:00:00;437309
Færre på vei ut;;Evaluering;Arbeidsforskningsinstituttet AS;0f7d8c8f-5d23-460e-88f3-b821798f30b5;nob;2012-01-01 00:00:00;69417
Tilbakeføring av straffedømte;;Evaluering;Norsk institutt for by- og regionforskning|NIBR|Norsk institutt for by- og regionforskning (NIBR);0f8b1b08-595d-435c-8353-e22ba1995802;nob;2011-01-01 00:00:00;216370
Evaluation of Norway’s Multilateral Partnerships Portfolio;;Evaluering;NORAD|Direktoratet for utviklingssamarbeid (Norad)|Direktoratet for utviklingssamarbeid;0f95025f-3269-4d6c-817d-d719397bae29;eng;2019-01-01 00:00:00;152177
Kompetansemegling i FORREGION – teoretisk fundament og veier fremover ;;Evaluering;SINTEF|SINTEF, Statens vegvesen|SINTEF Teknologi og samfunn|SINTEF Samferdselsteknikk|SINTEF Bygg og miljø|SINTEF Teknologi og samfunn. Helsetjenesteforskning|SINTEF Helse|SINTEF, Teknologi og samfunn|SINTEF Community|SINTEF Energiforskning |SINTEF IKT|SINTEF petroleumsforskning|SINTEF Byggforsk|SINTEF fiskeri og havbruk|SINTEF Building and Infrastructure|SINTEF Digital|SINTEF NHL;0fa0c459-9554-4d79-8a67-d237a6d835d3;nob;2020-01-01 00:00:00;99215
Evaluation of the Landscape Architecture Programme Offerede by the Department of Landscape Architecture and Spatial Planning (ILP) at the Norwegian University of Life Sciences (UMB);;Evaluering;Ekstern evalueringskomité;0fa1bfd8-d47a-460c-9482-deec8615d401;eng;2009-01-01 00:00:00;36609
Evaluering av ny tilskuddsordning til lokale idrettslag;;Evaluering;Rogalandsforskning;0faafc32-4616-48d5-87d2-e6f71fbbb7af;nob;2001-01-01 00:00:00;223270
Evaluation of Norway’s International Climate and Forest Initiative’s (NICFI) Support to Private Sector Initiatives;;Evaluering;Nordic Consulting Group |Analysis for Economic Decisions (ADE);0fb63659-5bdc-420d-b79f-a0bde570cf33;eng;2021-01-01 00:00:00;253368
Riksrevisjonens undersøkelse av Innovasjon Norge som statlig næringsutviklingsaktør;;Riksrevisjonsrapport;Riksrevisjonen;0fbb225c-d7c5-4e40-b042-1b748b02e019;nob;2008-01-01 00:00:00;337752
Pathways to global impact;;Evaluering;Nordisk institutt for studier av innovasjon, forskning og utdanning (NIFU);0fbbeff0-91e7-4653-a109-4b9291a0fa9c;eng;2017-01-01 00:00:00;288021
Naturfaglig evaluering av Frivillig vern-områder;;Evaluering;Norsk institutt for naturforskning;0fca8b38-c04c-49fb-b49e-1a946d0c0fa0;nob;2010-01-01 00:00:00;0
Sammen om en bedre kommune: En oppsummering;https://www.regjeringen.no/contentassets/a145c70a87874369b843356bfc2b6835/sammen_om_sluttrapport.pdf;Studie;Forskningsstiftelsen fafo|Fafo;0fe5e80d-4e86-4156-8d53-221c1481cb30;no;2016-05-02 20:08:00;273497
Samarbeid NAV-kommune om introduksjonsprogram - En kartlegging;;Evaluering;PROBA Samfunnsanalyse;10009572-c268-437d-b6f4-b0a3df733da6;nob;2017-01-01 00:00:00;127185
Status for oppfølging av Handlingsplan mot radikalisering og voldelig ekstremisme;https://www.regjeringen.no/contentassets/0917ed704a7f40769ba19b784af72fd5/statusrapport-handlingsplan-radikalisering-oktober-2019.pdf;Statusrapport;Justis- og beredskapsdepartementet|Det kgl. justis- og politidepartement|JD|JD|Justis- og beredskapsdepartementet mfl.;10312c9d-4452-41ce-a49d-23688a14ab6c;no;2020-03-24 20:11:28;52032
Helt Bakerst i Køen;;Evaluering;Forskningsstiftelsen fafo|Fafo;1035257d-38c1-4495-ad21-864669dd83f1;nob;2013-01-01 00:00:00;280164
Utdanning, forskning og innovasjon - hvor er vi nå? September 2020;https://www.regjeringen.no/contentassets/c12cc710573e4caf8da622f6a983414f/eu-nytt-utdanning-forskning-innovasjon__september-2020.pdf;Statusrapport;EU-delegasjonen;10489b6c-f839-409d-af71-df360f3b10e5;no;2020-09-11 20:11:27;12944
Evaluering av GIEK og Eksportkreditt Norge AS;;Evaluering;Oslo Economics AS;10490fd6-d3d1-4bd8-8f3f-5aece850935d;nob;2017-01-01 00:00:00;454058
Miljøteknologi og nasjonale fortrinn;;Evaluering;MENON Business Economics;10544b64-5b88-4ca1-a8ce-321f4cf300f2;nob;2010-01-01 00:00:00;194238
Fakultets- og instituttstyrer ved Universitetet i Stavanger;;Evaluering;Nordisk institutt for studier av innovasjon, forskning og utdanning (NIFU);105b1c9b-5ab9-46d2-93c7-bb250320ea5e;nob;2013-01-01 00:00:00;153584
Brukerundersøkelse 2017 -  Husleietvistutvalget;;Evaluering;Evalueringskomité/Utvalg;105f266c-79ce-4661-910c-8fff292127a3;nob;2018-01-01 00:00:00;0
Rapport om Bedriftshelsetjenesten;https://www.regjeringen.no/contentassets/a10367791b674fc2bbe4b5f181ed939b/utviklingsprosjekt-bedriftshelsetjenesten-rapport.pdf;Forhåndsutredning;Prosjektgruppe;10620562-1598-4442-aeed-0ccd8db87790;no;2020-11-17 20:11:12;129191
Kjønn og etnisitet i fiskeripolitikken;;Evaluering;Norut Tromsø;10641c06-73a9-4104-8a1d-ca6ac2ae57e6;nob;2004-01-01 00:00:00;99159
Tilrettelegging i arbeidslivet;;Evaluering;Forskningsstiftelsen fafo|Fafo;1070e125-95ed-4f91-acdb-d2b32e561344;nob;2011-01-01 00:00:00;302981
Fjerning av tidsetterslepet til investeringer i inntektsreguleringen av nettselskaper;;Evaluering;Pöyry Norge;1070e2be-f88a-41fd-922e-4ca999005e4f;nob;2010-01-01 00:00:00;73732
Utredning av modell for innfrakttilskudd i prisutjevningsordningen for melk;https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Rapport%203_2017_Utredning%20av%20modell%20for%20innfrakttilskudd%20i%20prisutjevningsordningen%20for%20melk.pdf/_/attachment/inline/1677febb-e055-4156-8a7a-586f4beb058b:ae3418fa9c7e313a0d347abf2b6057b27ce9af3d/Rapport%203_2017_Utredning%20av%20modell%20for%20innfrakttilskudd%20i%20prisutjevningsordningen%20for%20melk.pdf;Forhåndsutredning;Landbruksdirektoratet;107514f9-3bb0-411b-983d-e723c0269d01;no;2017-01-01 20:17:20;164376
Prikker i førerkort ved trafikkovertredelser;https://www.regjeringen.no/contentassets/26e5d43fbad44f3b9ec938dfc862f71e/evaluering-av-prikkbelastningsordningen.pdf;Evaluering;TØI Transportøkonomisk Institutt|Transportøkonomisk institutt|Transportøkonomisk institutt (TØI)|TØI;107ad988-d5ae-41e0-8144-4cba1f77b5d8;no;2017-03-07 20:08:32;117561
Riksrevisjonens undersøkelse av toll- og avgiftsetatens grensekontroll;;Riksrevisjonsrapport;Riksrevisjonen;1083d700-f352-43fd-a823-3a2a2750fcca;nob;2014-01-01 00:00:00;210741
Sykkelbyundersøkelsen i region sør 2010;;Evaluering;TØI Transportøkonomisk Institutt|Transportøkonomisk institutt|Transportøkonomisk institutt (TØI)|TØI;108793f1-e39c-43d0-abb9-2cbf7afd5d19;nob;2010-01-01 00:00:00;77610
IMDis minoritetsrådgivere og integreringsrådgivernes arbeid - Rapport første halvår 2020;https://www.imdi.no/contentassets/e6f5152e29ec43599caa684a307c6fd7/rapport_for_minoritetsradgivernes_og_integreringsradgivernes_arbeid_forste_halvar_2020.pdf;Statusrapport;Integrerings- og mangfoldsdirektorat|Integrerings- og mangfoldsdirektorat (IMDi)|IMDi;109c5bc8-0a07-48ec-aa63-ec9f024d1f0b;no;2020-01-01 20:16:56;26534
"Evaluation of Norwegian Development Cooperation through Norwegian
Non-Governmental Organisations in
Northern Uganda (2003–2007)
";;Evaluering;Image Consult Limited;109e6574-af06-4569-8abb-103a87923b06;eng;2009-01-01 00:00:00;421223
Bosettingsvirkninger av regionale trainee-program;;Evaluering;Ideas2evidence;10b796ae-e9f1-41f0-9ca3-0b0abb7a6f07;nob;2011-01-01 00:00:00;197285
Statlig idrettspolitikk inn i en ny tid;https://www.regjeringen.no/contentassets/3ab984dc671847bebe9a1cd2ec11f0ec/statlig-idrettspolitikk-inn-i-en-ny-tid.-rapport-fra-strategiutvalg-for-idrett.pdf;Forhåndsutredning;Utvalg;10b8b918-8682-4e15-b2b6-30e9f43141ab;no;2016-06-08 20:08:08;229278
Forenkling av jordbruksavtalens virkemidler;https://www.regjeringen.no/contentassets/035b97f7c41148adb713e670774f73e1/delrapport-arbeidsgruppe-forenkling-av-jordbruksavtalens-virkemidler-150315.pdf;Forhåndsutredning;Arbeidsgruppe;10ba6ef7-b787-4410-bcc7-86035525ef11;no;2015-03-15 20:06:49;50847
Hvordan øke eldres yrkesdeltakelse?;;Evaluering;Forskningsstiftelsen fafo|Fafo;10c7104a-9ceb-47c1-8494-618ea8fb6be2;nob;2013-01-01 00:00:00;370337
For en neve dollar mer;;Evaluering;Ideas2evidence;10cd6bc7-6dd3-4ab0-9fec-d348b6b7bc84;nob;2011-01-01 00:00:00;356459
Decommissioning on the Norwegian Continental Shelf – Cost Effective and Innovative Solutions;https://www.npd.no/globalassets/1-npd/publikasjoner/rapporter-en/decommissioning-on-the-norwegian-continental-shelf-cost-effective-and-innovative-solutions-2019.pdf;Forhåndsutredning;Genesis Oil and Gas Consultants Norway AS;10d376b4-62a3-43b2-b162-00423081e471;no;2019-01-01 20:16:27;103770
Administrative fellesfunksjoner i staten - Status og utviklingsmuligheter;https://dfo.no/sites/default/files/fagomr%C3%A5der/Rapporter/Rapporter-Difi/administrative_fellesfunksjoner_i_staten._status_og_utviklingsmuligheter_difi-rapport_2018_9.pdf;Forhåndsutredning;Direktoratet for forvaltning og IKT (DIFI)|Difi;10dc2003-32f9-43bf-8cff-c7fec17501d6;no;2018-01-01 20:13:23;90552
Overvåking av elvemusling i Norge : årsrapport for 2008;;Evaluering;Norsk institutt for naturforskning;1124a5b2-68cb-43bc-a44e-1bdb385e0202;nob;2010-01-01 00:00:00;0
Fra dialog til avviksmelding?;;Evaluering;Norsk institutt for forskning om oppvekst, velferd og aldring (NOVA);112557c8-7c87-4e8c-bd4d-ee0e428881b2;nob;2015-01-01 00:00:00;180890
"Målrettet gjødsling av skog som
klimatiltak";https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Rapport%20M174%202014%20Målrettet%20gjødsling%20av%20skog%20som%20klimatiltak.pdf/_/attachment/inline/07d97633-8dea-4325-9d4f-f5c54b33d150:2db6961af941ae960c84441e8c3626e2bf19fb03/Rapport%20M174%202014%20Målrettet%20gjødsling%20av%20skog%20som%20klimatiltak.pdf;Forhåndsutredning;Miljødirektoratet|Statens landbruksforvaltning|Norsk institutt for skog og landskap ;112d97ec-5b02-4854-85b2-1b62645000ed;no;2014-01-01 20:17:34;379491
Mot en ny infrastruktur for læring og kontroll : kvalitetsvurdering i fag- og yrkesopplæringen;;Evaluering;Arbeidsforskningsinstituttet (AFI);113ff4d0-a486-470d-84be-61d9478fd641;nob;2007-01-01 00:00:00;602745
Et blikk inn i skolen;https://www.imdi.no/contentassets/a72839e6263f4074a4f0753f24fcbc27/rapport-2015.-et-blikk-inn-i-skolen-minoritetsradgivere-sett-fra-brukeres-stasted.pdf;Evaluering;Forskningsstiftelsen fafo|Fafo;1143fa84-6c53-4b87-84b4-b0fdd5dac810;no;2015-01-01 20:15:59;373135
Evaluation of the Norwegian Center for Stem Cell Research;;Evaluering;Konsulenter;1144ecd9-6ef8-40cf-baf8-d972a0f975ae;eng;2012-01-01 00:00:00;53235
Evaluering av legemiddelassistert rehabilitering;;Evaluering;AIM Research Based Consulting|Universitetet i Oslo. Seksjon for kliniske rusmiddelproblemer;114ccf49-8057-4d01-8e67-bd1dbfb41d47;nob;2004-01-01 00:00:00;0
Økonominytt fra EU-delegasjonen, november 2016;https://www.regjeringen.no/contentassets/73333839e8f44ff28e9344709a5b0b78/2016-10-november.pdf;Statusrapport;EU-delegasjonen;11500c6e-20d9-4de2-814b-1339db447982;no;2016-11-21 20:08:45;76390
Sikkerhetsteknologi i omsorgsboliger og sykehjem;http://biblioteket.husbanken.no/arkiv/dok/Komp/Rapport%20Sikkerhetsteknologi%20i%20omsorgsboliger%20og%20sykehjem.pdf;Forhåndsutredning;SINTEF|SINTEF, Statens vegvesen|SINTEF Teknologi og samfunn|SINTEF Samferdselsteknikk|SINTEF Bygg og miljø|SINTEF Teknologi og samfunn. Helsetjenesteforskning|SINTEF Helse|SINTEF, Teknologi og samfunn|SINTEF Community|SINTEF Energiforskning |SINTEF IKT|SINTEF petroleumsforskning|SINTEF Byggforsk|SINTEF fiskeri og havbruk|SINTEF Building and Infrastructure|SINTEF Digital|SINTEF NHL;1165a29e-30f2-44d3-98f0-d575427e84ba;no;2020-01-01 20:19:47;126903
Ivaretagelse av storulykkesrisiko og arbeidsmiljø i utvinningstillatelser og rettighetshavergrupper;https://www.ptil.no/contentassets/b74529bd2ba146eba539216988b9b9ab/rapport-safetec-ivaretagelse-av-storulykkesrisiko-og-arbeidsmiljo-i-utvinningstillatelser-og-rettighetshavergrupper.pdf;Forhåndsutredning;Safetec;1174c601-8346-4c27-a22f-b978764f9c71;no;2022-03-14 17:13:51;180539
Der ordene slutter;;Evaluering;Evalueringskomité/Utvalg;1178af54-609b-441c-874d-08ab2fc5a5d8;nob;2014-01-01 00:00:00;135826
Analyse av en dagpengereform;;Evaluering;Institutt for samfunnsforskning|Frischsenteret;118b6238-0202-414c-9868-e20e0a554715;nob;2012-01-01 00:00:00;37863
Evaluering av tverrfaglig enhet for dobbeltdiagnoser (TEDD);;Evaluering;Diakonhjemmet høgskole;118c6767-1756-43f0-b2a2-ebb40f233284;nob;2011-01-01 00:00:00;167299
Evaluering av interkommunalt samarbeid etter kommunelovens § 27 – omfang, organisering og virkemåte;;Evaluering;Universitetet i Agder;11a08bf8-16aa-4570-9590-914e401acfd0;nob;2011-01-01 00:00:00;339271
Opplevd oppdagelsesrisiko;https://www.skatteetaten.no/globalassets/om-skatteetaten/analyse-og-rapporter/rapporter/oppdagelsesrisiko.pdf;Studie;Skatteetaten;11b86a23-b9bb-412a-be2a-bc303b34d64f;no;;51446
Nye KILE-funksjoner for husholdninger;;Evaluering;Vista Analyse ;11c00a91-5bb2-4b92-82d4-5cec75814960;nob;2017-01-01 00:00:00;152960
Utredning om det norske leiemarkedet;https://www.regjeringen.no/contentassets/9d8d22fb53ea4a47bd3aa8fc5a89d792/utredning-om-det-norske-leiemarkedet---leieboerforeningen.pdf;Forhåndsutredning;Leieboerforeningen;11c78229-4f31-49f0-b077-8b21fb2104d0;no;2020-04-21 20:11:08;143038
Riksrevisjonens undersøkelse om rehabilitering innen helsetjenesten;;Riksrevisjonsrapport;Riksrevisjonen;11d1c575-aeb8-43db-8962-17563739b574;nob;2012-01-01 00:00:00;268474
Effects of proposed ship routeing off the Norwegian coast. part 1 Røst - Utsira. ;;Evaluering;TØI Transportøkonomisk Institutt|Transportøkonomisk institutt|Transportøkonomisk institutt (TØI)|TØI;11e70ccc-dc08-47af-b7bc-c13c0c18b3ae;nob;2009-01-01 00:00:00;281478
