title,source_document_url,type,uuid,language,published_at,evaluation_type,sector,series,series_number,datainnsamling 1,datainnsamling 2,datainnsamling 3,datainnsamling 4,datainnsamling 5,method,length
Russ-prosjektet,,Evaluering,45cc44f5-1b25-4764-acd9-26fd202ab593,nob,2007,Etterevaluering,Arbeid og velferd,SINTEF rapport,A1341,Spørreskjema,Observasjon,,,,,107260
Innovasjon og kompetanse i sjømatindustrien,,Evaluering,45d0d043-cc81-4d95-a4e4-8e9ff9584b32,nob,2014,Samfunnsøkonomisk analyse,"Mat, fisk og landbruk",,,,,,,,,208200
En ny rolle for NAV i fengsel,,Evaluering,45d28cbc-76f7-44bb-9203-588045edc11d,nob,2015,Tidsuavhengig evaluering,Arbeid og velferd,,,Intervju,Statistikk,,,,,85948
Tiltak i husdyrproduksjonen : potensial for reduksjon i utslipp av lystgass og enterisk metan fra mjølkekupopulasjonen,,Evaluering,45e400fe-605f-4ba2-b056-205af3eaa9cd,nob,2016,Underveisevaluering,Miljø,,,Dokumentstudier,Observasjon,,,,,33266
Norwegian Government Pension Fund Global,,Evaluering,45ec3609-cf83-4ebf-97e1-6eede18fcb41,eng,2012,Samfunnsøkonomisk analyse,Økonomi,,,Dokumentstudier,Statistikk,,,,,12377
Riksrevisjonens undersøkelse av myndighetenes arbeid med å redusere planleggingstiden for store samferdselsprosjekter,,Riksrevisjonsrapport,45ff2ce7-006f-44a6-a522-fe866e0b08c6,nob,2018,Etterevaluering,Konstitusjonelle organer ,Dokument,3:4 (2018-2019),Intervju,Dokumentstudier,,,,,266686
Arbeidsmedisin i vakuum? Evaluering av det arbeidsmedisinske tilbudet,,Evaluering,460cb7cd-1631-4c46-a65d-d62ff615332d,nob,2009,Tidsuavhengig evaluering,Arbeid og velferd,TF-rapport,251/2009,Intervju,Spørreskjema,Dokumentstudier,,,,394316
Riksrevisjonens undersøkelse av Justisdepartementets samordningsansvar for samfunnssikkerhet,,Riksrevisjonsrapport,4620c894-e975-4b26-b176-5976a2cf6630,nob,2008,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,3:4 (2007-2008),Intervju,Spørreskjema,Dokumentstudier,,,,140164
Lokal forvaltning av store verneområder,,Evaluering,462747ed-87ef-482d-8185-8b6071d3f2cd,nob,2008,Etterevaluering,Offentlig forvaltning,NIBR-rapport,nov.08,Dokumentstudier,,,,,,112862
Føleevaluering av Omdømmeskolen 2008 og 2010,,Evaluering,4635c3b5-3c65-42ed-a813-1cc51eafc94b,nob,2013,Etterevaluering,Offentlig forvaltning,,,Intervju,Spørreskjema,Dokumentstudier,Observasjon,,,172511
Tilgang på boliger i distriktene og rekruttering av arbeidskraft,,Evaluering,463b6d82-2a99-498f-bbc6-970197d9a228,nob,2020,Tidsuavhengig evaluering,Kommuner og distrikter,Rapport,35/2020,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,116016
Evaluering av regelverket for bruk av vannscooter,,Evaluering,465bf7f7-c9f6-4480-9f34-15d2a071aa3f,nob,2014,Underveisevaluering,Miljø,Rapport,2014/49,Intervju,Dokumentstudier,Statistikk,,,,271835
Frekvenser for akutte utslipp fra petroleumsvirksomheten,,Evaluering,46773622-3503-420e-83de-eee6509cc67f,nob,2010,Etterevaluering,Offentlig forvaltning,,,Statistikk,,,,,,28646
"Undersøkelse om, og evaluering av lov, forskrift og veiledning om utbyggingsavtaler.",,Evaluering,469b5155-e913-4e0a-9db2-9041c70235ef,nob,2009,Etterevaluering,Kommuner og distrikter,,,Intervju,Dokumentstudier,,,,"Det er tatt kontakt med 18 kommuner og 25 utbyggere. Undersøkelsen er basert på telefonintervju i kombinasjon med dokumentstudier av et utvalg utbyggingsavtaler og forutsigbarhetsvedtak. Intervjuobjektene har på forhånd fått tilsendt en intervjuguide, med anledning til å supplere materialet i etterkant. Telefonintervjuene er gjennomført av rådgivere med praktisk erfaring fra planlegging og forhandling av utbyggingsavtaler for både kommuner og utbyggere.  Resultatene av undersøkelsen er vurdert og presentert av personer med dybdekunnskap om forutsetninger, forhandlinger, innhold i utbyggingsavtale og hvordan regelverk og veiledning har fungert.",110411
Vurdering av Altinn II-plattformen,,Evaluering,46c923d2-9860-4806-afa1-a75fb593a5f5,nob,2011,Etterevaluering,Offentlig forvaltning,Teknisk rapport,1239/2011,Intervju,Dokumentstudier,,,,Intervju av strategisk utvalgte objekter. Dokumentstudier av alt tilgjengelig dokumentasjon av temaet.,114087
Husleielovens varslingsregel,,Evaluering,46d1846b-47f2-4436-a112-acb32dbfa819,nob,2013,Tidsuavhengig evaluering,Bolig og eiendom,NIBR-rapport,2013:07:00,Intervju,,,,,,129558
Tilleggsrapport til evaluering av miljøinstituttene i Norge: Eksempler på samfunnseffekter,,Evaluering,470bcd87-9844-4727-a67d-12930b0c1c21,nob,2018,Forhåndsevaluering,Utdanning og forskning,,,Dokumentstudier,,,,,,557574
Spørsmål til Skole-Norge våren 2017,,Evaluering,470d2070-e753-4a90-a2f9-e676758976e5,nob,2017,Underveisevaluering,Utdanning og forskning,Rapport,2017:12:00,Spørreskjema,,,,,Kvantitativ metode,232657
Country Evaluation Brief: Uganda ,,Evaluering,4725d0ed-a78a-4b05-bff5-a57733765db6,eng,2020,Etterevaluering,Internasjonalt,Rapport,des.20,Dokumentstudier,Statistikk,,,,,71609
Mainstreaming biodiversity and ecosystem services – Norwegian and European experiences,,Evaluering,472a0c02-e2c7-4551-83b9-412bba5b57a5,eng,2016,Tidsuavhengig evaluering,Miljø,,,Dokumentstudier,,,,,,195496
Sikkerhetsstudie innlandshelikopter,,Evaluering,47457f9e-8b15-431d-a2e8-c093ac91facb,nob,2013,Tidsuavhengig evaluering,Transport og kommunikasjon,,,Intervju,Spørreskjema,Dokumentstudier,,,,251239
Sivilt rusarbeid,,Evaluering,4753818b-f381-40fc-9ef8-a968e7e123ab,nob,2010,Underveisevaluering,Helse og omsorg,Rapport IRIS,2010/063,Intervju,Dokumentstudier,,,,,324321
Evaluering av Fiskeri- og havbruksnæringens forskningsfond,,Evaluering,47663331-3150-48fc-b272-f739c371482f,nob,2006,Underveisevaluering,"Mat, fisk og landbruk",Rapport,jun.06,Intervju,Spørreskjema,Dokumentstudier,,,"Systemanalyse, porteføljeanalyse, informasjon til brukertilfredshetsundersøkelse samlet inn gjennom web-basert undersøkelse med et bruttoutvalg på ca. 2000  enheter og brukervurderinger innhentet gjennom intervjuer, effektundersøkelse gjennomført som konvensjonell spørreundersøkelse til alle involverte bedrifter, ca. 170 skjemaer.",388195
Nye roller for frivillige organisasjoner i utviklingssamarbeidet,,Evaluering,4785d613-14cc-4a45-923f-a1c8afd657a5,nob,2006,Tidsuavhengig evaluering,Internasjonalt,,,Dokumentstudier,,,,,,801731
Kommunenes tilrettelegging for boligbygging,,Evaluering,4789dc4a-3a1f-4c8d-ae9b-a53f873262a7,nob,2014,Tidsuavhengig evaluering,Bolig og eiendom,NIBR-rapport,2014:13:00,Intervju,Spørreskjema,,,,,286004
En oversikt og vurdering av skatter og avgifter i fiskeflåten,,Evaluering,4792736f-c226-4ff9-a56c-3f340becce7c,nob,2008,Tidsuavhengig evaluering,Offentlig forvaltning,SNF-rapport,13/2008,Dokumentstudier,Observasjon,,,,,114245
Prosjekt bostedsløse,,Evaluering,47cdb479-06f4-4849-ac12-3fc3b1012d75,nob,2003,Underveisevaluering,Bolig og eiendom,Prosjektrapport,358,Intervju,Spørreskjema,Dokumentstudier,,,,316081
Virksomhetenes seniortiltak,,Evaluering,47fa0236-9265-4117-9083-2d079fb4b83b,nob,2013,Tidsuavhengig evaluering,Arbeid og velferd,,,Dokumentstudier,Statistikk,,,,Surveydata,49739
Rapport: Alle til lags. Frivillighetssentralene i nærmiljøet,https://www.regjeringen.no/no/dokumenter/alle-til-lags-frivillighetssentralene-i-/id532266/,Ukategorisert,48280565-99ec-488b-b024-bcdac48bf56c,nob,2008,Tidsuavhengig evaluering,"Kultur, fritid og livssyn",Rapport,2008:11:00,Intervju,Dokumentstudier,,,,,260241
Konseptvalgutredning,,KVU/KS1/KS2,482e7f33-57ed-4b20-99e5-120cf5289e7a,nob,2012,Forhåndsevaluering,Transport og kommunikasjon,,,Dokumentstudier,Statistikk,Observasjon,,,,NULL
"Barns fysiske bomiljø, aktiviteter og daglige reiser ",,Evaluering,483a0068-e804-4430-9389-7729442b9b4b,nob,2006,Tidsuavhengig evaluering,Transport og kommunikasjon,TØI-rapport,869/2006,Intervju,,,,,,224833
Revelation of Tax Evasion by Random Audits,,Evaluering,483b1f8c-a3ed-46c5-a631-4bb4f36071e0,nob,2009,Forhåndsevaluering,Økonomi,Rapport,jan.09,,,,,,,332585
Samfunnsøkonomisk analyse av Husleietvistutvalget,,Evaluering,483b727a-2ec6-418c-a9e2-1b34c0042f25,nob,2013,Samfunnsøkonomisk analyse,Bolig og eiendom,Rapport,2013/41,Intervju,Spørreskjema,Dokumentstudier,,,,208228
Etablering av et villreinsenter på Hjerkinn,,Evaluering,4852a759-b166-490f-b4b2-9c673dfd13a3,nob,2007,Forhåndsevaluering,Miljø,,,Dokumentstudier,,,,,,91823
Riksrevisjonen legger frem,,Riksrevisjonsrapport,485544ea-aba3-4d8b-a9aa-a767800c27a9,nob,2003,Etterevaluering,Konstitusjonelle organer ,Dokumentserien (Stortinget),Dokument nr. 1 (2003-2004),Dokumentstudier,,,,,,218599
"Evaluering av samordningsforsøkene mellom Aetat, Sosialtjenesten og Trygdeetaten",,Evaluering,488771a0-9fb0-4399-a474-9ba982b0b5bf,nob,2004,Underveisevaluering,Arbeid og velferd,Arbeidsrapport,26/2004,Spørreskjema,Observasjon,,,,,56810
Forslag til overvåkingslokaliteter for etablering av referanseverdier for økologiske kvalitetselementer i ferskvann,,Evaluering,48a55fb6-60bf-4e81-8353-8139d49d5be6,nob,2006,Etterevaluering,Miljø,NINA rapport,153,Dokumentstudier,Observasjon,,,,,91968
Evaluering av Fiskeridirektoratet,,Evaluering,48b1a6e5-6bda-4125-b39f-cf56d7e4b883,nob,2015,Tidsuavhengig evaluering,"Mat, fisk og landbruk",Difi-rapport,2015:01:00,Intervju,Dokumentstudier,,,,,164902
"Samfunnsøkonomisk analyse av farledsutbedring av Kalvøysundet, nordre innseiling Ålesund",,Forhåndsutredning,48bdd7b6-d8d0-4cdb-8a56-9141f6a6e0e2,nob,2015,Samfunnsøkonomisk analyse,"Mat, fisk og landbruk",,,Intervju,Statistikk,,,,,84364
Impacts of the SFF scheme on the  Norwegian research system: Sub-report I to the SFF evaluation panel  ,,Evaluering,48c05f7e-ff42-416c-aa25-d192e9b69833,eng,2019,Underveisevaluering,Utdanning og forskning,Rapport,2019:28:00,Intervju,Spørreskjema,Dokumentstudier,,,,297184
Konseptvalgutredning,,KVU/KS1/KS2,48d04aef-6d3d-419a-a861-02905cb32535,nob,2008,Forhåndsevaluering,Transport og kommunikasjon,,,Dokumentstudier,Statistikk,Observasjon,,,,NULL
Riksrevisjonens undersøkelse av akuttmedisinsk beredskap i spesialisthelsetjenesten,,Riksrevisjonsrapport,48f157ab-29c3-4f60-aaed-cc6a6a38eff6,nob,2006,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,3:9 (2005-2006),Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,166328
Riksrevisjonens undersøking av vedlikehald og sikring av kyrkjebygg,,Riksrevisjonsrapport,48f7e807-4c8f-4caa-b721-7960e05143a1,nno,2011,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,3:10 / 2010-2011,Intervju,Dokumentstudier,Statistikk,,,,180278
Arbeidsgiverperspektiver på inkludering: Hva er god inkluderingskompetanse? ,,Evaluering,490b3a84-27c0-4e0d-a5aa-cfbe21fdb00f,nob,2014,Tidsuavhengig evaluering,Arbeid og velferd,AFI-rapport,mai.14,Intervju,Dokumentstudier,Observasjon,,,,125609
Kapittel 4A - en faglig revolusjon? : evaluering av sosialtjenestelovens kapittel 4A,,Evaluering,490fbf8a-3b66-46e9-8fda-0fc2a76b5749,nob,2008,Tidsuavhengig evaluering,Arbeid og velferd,NF-rapport,jan.08,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,Strategisk utvalgsmetode for intervju. Tilfeldig utvalgsmetode for spørreundersøkelse. Personlige- og telefonintervju.,543255
Hurtigvirkende kur,,Evaluering,49192873-cd7a-426b-80c4-af475bc83765,nob,2010,Forhåndsevaluering,Offentlig forvaltning,,,Spørreskjema,,,,,,442780
Arbeids- og utdanningsreiser for funksjonshemmede,,Evaluering,491cf4c0-6004-49aa-b2ee-3df101db621f,nob,2012,Samfunnsøkonomisk analyse,Arbeid og velferd,SIB-rapport,jan.12,Intervju,Spørreskjema,Statistikk,,,"Spørreundersøkelse av brukere, herunder et utvalg med personlige intervju. Data og statistikk fra NAV.",215330
Evaluering av Spesielle miljøtiltak i jordbruket (SMIL),,Evaluering,4924e0ba-372c-4043-9a83-262824693b97,nob,2009,Underveisevaluering,"Mat, fisk og landbruk",Bioforsk rapport,Vol. 4 Nr. 5 2009,Spørreskjema,,,,,"Det ble sendt spørreskjema til alle landets kommuner. Feltbefaring ble gjennomført i noen kommuner og det var ønskelig å belyse eventuelle forskjeller mellom ulike landsdeler, kommuner ble derfor trukket ut tilfeldig fra ulike landsdeler.  ",63818
"Intermediære enheter og ""hjemmesykehus"" ved behandling av pasienter med akutt KOLS-forverring",,Evaluering,4934e11f-7bfc-466e-8c70-8efc0082cf92,nob,2011,Tidsuavhengig evaluering,Helse og omsorg,Rapport fra Kunnskapssenteret,aug.11,Dokumentstudier,,,,,,144816
Evaluering av KRDs og NHDs tilskudd til Ungt Entreprenørskap,,Evaluering,4939e25b-0546-4ac1-9a35-630295689daa,nob,2011,Samfunnsøkonomisk analyse,Arbeid og velferd,NF-rapport,sep.11,Intervju,Spørreskjema,Dokumentstudier,,,,436993
Sammenliknende analyse av nordisk husleielovgivning,,Evaluering,4947e699-2934-4c68-8271-6d3af753f67c,nob,2011,Tidsuavhengig evaluering,Bolig og eiendom,,,Dokumentstudier,,,,,,345414
Vurdering av miljøgiftsituasjonen i Norskehavet og Barentshavet,,Evaluering,494fcca7-4b9b-4065-87ba-334cb5f8f0e1,nob,2013,Underveisevaluering,Miljø,Akvaplan-niva rapport,6401 &ndash; 01,Dokumentstudier,Observasjon,,,,,168662
Evaluering av eiendomsvirksomheten til Siva,,Evaluering,496dea85-bfda-41f6-a81a-830a7959702a,nob,2015,Tidsuavhengig evaluering,Næringsliv,,,Intervju,Spørreskjema,Dokumentstudier,Observasjon,,OECDs evalueringsmetodikk,407970
Fra bostøtte til programarbeid: En evaluering av statens boligsosiale virkemidler,,Evaluering,49a6bf0c-595e-4aed-8a69-7c1656f2d197,nob,2017,Tidsuavhengig evaluering,Bolig og eiendom,Rapport,2017/20,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,597391
Klanderverdig atferd og varsling i norsk arbeidsliv,,Evaluering,49ae16ec-c475-42ac-8205-6aaf495d83d9,nob,2008,Etterevaluering,Arbeid og velferd,,,Spørreskjema,,,,,Tilfeldig utvalg,310326
Nåtidsanalyse av innovasjonsaktivitet i kommunesektoren ,,Evaluering,49ba8332-1477-4c37-9b18-8d38384f6a42,nob,2018,Underveisevaluering,Kommuner og distrikter,Menon-publikasjon,88/2018,Intervju,Spørreskjema,Dokumentstudier,,,,140418
Development Cooperation through Norwegian NGOs in South America,,Evaluering,49c9c47e-27b7-48f6-9902-798e4907d731,eng,2007,Samfunnsøkonomisk analyse,Internasjonalt,Study,feb.07,Intervju,Dokumentstudier,Statistikk,,,,203416
Evaluering av nærpolitireformen,,Evaluering,49debe9a-b4cf-4062-94f5-011cc809fe6b,nob,2017,Underveisevaluering,Offentlig forvaltning,Difi-rapport,2017:02:00,Intervju,Spørreskjema,Dokumentstudier,,,Kvalitativ og kvantitativ,185559
Medarbeidersamhandling og medarbeiderledelse i en lagbasert organisasjon,,Evaluering,4a034ce1-1b82-47dd-a708-1c9e76879442,nob,2007,Underveisevaluering,Offentlig forvaltning,,,Intervju,Observasjon,,,,,261719
Iverksetting av insentivbasert finansiering,,Evaluering,4a1af1b5-3e22-47aa-b4df-8bb538dfdde5,nob,2007,Underveisevaluering,Utdanning og forskning,Rapport,13/2007,Intervju,Spørreskjema,Dokumentstudier,,,,78333
Effektivitet i kommunale tjenester,,Evaluering,4a25857c-6a6d-4268-85b1-e48febf3f725,nob,2018,Samfunnsøkonomisk analyse,Kommuner og distrikter,SØF-rapport,jan.18,Statistikk,,,,,,305598
Evaluering av arbeidsmarkedstiltak i skjermede virksomheter,,Evaluering,4a481bd1-b6dc-45d0-8566-217212f00b99,nob,2009,Etterevaluering,Arbeid og velferd,Rapport,253/2009,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,424254
Konseptvalgutgreiing for E134 over Haukelifjell : Parsell,,KVU/KS1/KS2,4a52455c-bbae-46cf-87f1-ada43b81cc47,nno,2007,Forhåndsevaluering,Transport og kommunikasjon,,,Dokumentstudier,Statistikk,Observasjon,,,,174316
Government initiatives to support the commercialization of research,,Evaluering,4a5bbd41-7642-457b-9dc2-0ac33d8dbb4c,eng,2006,Tidsuavhengig evaluering,Utdanning og forskning,NF-rapport,15/2006,Intervju,Dokumentstudier,Statistikk,,,,306608
Konkurransen i bankmarkedet,,Evaluering,4a6e58ab-4b66-4453-bfe7-94a00446d090,nob,2008,Underveisevaluering,Offentlig forvaltning,,,Dokumentstudier,Observasjon,,,,,113054
Et helhetlig risikobasert tilsyn,,Evaluering,4a733683-bef9-4093-9849-6ce6d5a3024c,nob,2007,Underveisevaluering,Arbeid og velferd,,,Intervju,Spørreskjema,Dokumentstudier,,,EFQM European Foundation for Quality Management,281624
Review of the Teacher Education Programme South-North,,Evaluering,4a874c53-7432-4ce3-a629-a8803505d80c,eng,2007,Etterevaluering,Utdanning og forskning,,,Intervju,Dokumentstudier,,,,,136861
Samfunnsøkonomisk nytte og lønnsomhet av høyhastighetsbredbånd i distriktene,,Evaluering,4a8e8e84-a0d7-48c1-8e0a-bc995cff4cf7,nob,2012,Samfunnsøkonomisk analyse,Kommuner og distrikter,Rapport,2012/11,Observasjon,,,,,,237813
Evaluation of the national research school scheme,,Evaluering,4ace4bd1-6e9d-4871-823c-39fbc3618369,eng,2018,Underveisevaluering,Utdanning og forskning,Rapport,2018:13:00,Spørreskjema,Statistikk,,,,Kvantitativ metode,277222
"Lokalmedier, lokaldemokrati og kjønnslikestilling i en ny tid",https://www.regjeringen.no/no/dokumenter/lokalmedier-lokaldemokrati-og-kjonnslike/id560061/,Ukategorisert,4aef6a29-313d-4d74-b6e0-aaea0f702ba7,nob,2009,Etterevaluering,Kommuner og distrikter,Rapport,feb.09,Dokumentstudier,,,,,Utgangspunktet for kunnskapsstatusen har vært å svare på tre spørsmål: 1. Kartlegging av kunnskap om lokalpressen rolle i forhold til andre medier. Hvordan er lokalavisenes dekningsgrad i de ulike kommunene? Er det kjønns- og aldersforskjeller i bruken av lokalavisene? 2. Lokalavisenes offentlighet. Hva vet vi om hvem som kommer til orde i lokalavisen? Forholdet mellom kilder og journalister/lokalavisen. 3. Hvilken rolle har lokalavisen (lokale medier) i lokalpolitiske beslutningsprosesser? På hvilket stadium i en lokalpolitisk prosess blir sakene behandlet?,220889
Evaluering av Politiets utlendingsenhet,,Evaluering,4af23edb-81d4-474e-bf9a-d7d25733d6fd,nob,2007,Underveisevaluering,Innvandring og inkludering,Rapport,26/2007,Intervju,Spørreskjema,Dokumentstudier,,,"Dokumentanalyse, Intervjuer, Spørreundersøkelser, Prosessmodellering/workshop",304714
Samfunnsøkonomisk analyse av ny fiskerihavn i Bømlo kommune,,Forhåndsutredning,4afd1a56-91c9-4da2-a964-139b19cba923,nob,2016,Samfunnsøkonomisk analyse,"Mat, fisk og landbruk",,,Intervju,Statistikk,,,,,116585
Kvaliteten på norske konsekvensutredninger,,Evaluering,4b00b0c0-374c-42d2-99a3-293a996b58b0,nob,2006,Underveisevaluering,Miljø,,,Dokumentstudier,,,,,,445029
Barnehusevalueringen 2012,,Evaluering,4b09b810-ea6e-43be-b99f-57be67f6be9a,nob,2012,Tidsuavhengig evaluering,Lov og rett,NOVA-rapport,sep.12,Intervju,Dokumentstudier,Statistikk,Observasjon,,,342530
Uttak av rømt oppdrettslaks i vassdrag,,Evaluering,4b10bc70-5fb4-412b-8da5-29659f37a248,nob,2008,Tidsuavhengig evaluering,"Mat, fisk og landbruk",Rapport,149,Dokumentstudier,Statistikk,Observasjon,,,"Innsamling og analyser av biologisk materiale. LFI-Unifob m.fl. gjennomførte uttak og kontroll av laks i 10 elver høsten 2007. Fangstmetodene som ble brukt var garnfiske, håv, stangfiske, el-apparater og harpun/spyd. Som et resultat av dette ble i alt 297 laks kontrollert og 121 oppdrettslaks tatt ut. Flest laks ble tatt på stang, grunnet stor innsats og langvarig fiske av sportsfiskere i Etne. Ved intensivt uttak ser imidlertid garnfiske ut til å være en tidseffektiv metode.",66703
Inntekter og utgifter for kommuner som bosetter flyktninger,,Evaluering,4b14d408-8838-4bc6-9c64-72f1cf6bb9d3,nob,2011,Tidsuavhengig evaluering,Innvandring og inkludering,,,Dokumentstudier,Statistikk,,,,"Agenda Kaupang foretok i tillegg en mindre kartlegging (i 3 kommuner) av kommunenes helseutgifter knyttet til målgruppen. Resultatene viser en underdekning på helseutgifter på om lag 12 000 kroner per person i målgruppen. Agenda Kaupangs kartlegging er et supplement til Beregningsutvalgets rapport og forsøker å gi et anslag på hvor mye av rammetilskuddet som kan antas å dekke utgifter knyttet til bosetting av flyktninger. Inntektssystemet for kommunene er komplisert, slik at det er vanskelig å komme fram til et eksakt svar, men rapporten gir likevel et mer utfyllende bilde av kommunenes inntekter og utgifter knyttet til bosetting av flyktninger.",238144
Evaluation of the Social Sciences in Norway,,Evaluering,4b33a339-c623-4a81-ae4c-05491c69807b,eng,2018,Tidsuavhengig evaluering,Utdanning og forskning,,,Intervju,Dokumentstudier,Statistikk,,,,426361
Analyse av årsakssammenhenger til uønskede hendelser med offshorekraner - Fase 2 - Perioden 2000 - 2004 - Rapport 33.790.007 R1,,Evaluering,4b6139b5-a172-4187-ba10-20a9648f168a,nob,2005,Underveisevaluering,Arbeid og velferd,,,,,,,,,171576
Miljøavgifter i lavutslippssone,,Evaluering,4b75750d-a501-472b-b1bd-00ee91a62788,nob,2006,Samfunnsøkonomisk analyse,Transport og kommunikasjon,TØI-rapport,848/2006,Statistikk,,,,,,148496
Riksrevisjonens undersøking av forvaltninga av nasjonalparkar,,Riksrevisjonsrapport,4be0835e-1564-407b-a126-730aa595cbb0,nno,2014,Tidsuavhengig evaluering,Konstitusjonelle organer ,Riksrevisjonens administrative rapporter,jan.14,Intervju,Dokumentstudier,,,,,133061
Bilavgifters virkninger på CO2-utslipp fra nye biler,,Evaluering,4bee39f9-6efb-43db-83b1-db73de5ce3ee,nob,2011,Samfunnsøkonomisk analyse,Økonomi,Rapport,29/2011,Statistikk,Observasjon,,,,Økonometrisk metode,321885
Evaluering av forvaltningsplaner for gås i Norge,,Evaluering,4bfdae8b-12ec-47d9-b7cb-97e5f6d0aa02,nob,2005,Etterevaluering,Miljø,,,Intervju,Spørreskjema,Dokumentstudier,,,,199404
Evaluering av DEMO 2000,,Evaluering,4c10634a-0593-4f61-90aa-7762e50f74cd,nob,2017,Tidsuavhengig evaluering,Offentlig forvaltning,Menon-publikasjon,34/2017,Intervju,Spørreskjema,,,,"Spørreskjema til alle søkere,fom. 2010 utvalgte intervjuer",89977
Pilotstudie: Veien mot uførepensjon,,Evaluering,4c1111ed-bd3c-4850-a41b-a1cd2709f089,nob,2017,Forhåndsevaluering,Arbeid og velferd,,,Intervju,,,,,Personlige dybdeintervju,36348
Valgmenighet - alternativ og supplement,,Evaluering,4c1bc50c-98e5-46c3-af68-dd0c0ee16d17,nob,2009,Etterevaluering,"Kultur, fritid og livssyn",Rapport IRIS,118/2009,Intervju,Spørreskjema,Dokumentstudier,Statistikk,Observasjon,,222523
Gjennomstrømming eller bostabilitet? Barnefamilier i kommunale boliger.,,Evaluering,4c4a96b5-52d6-4aa8-8be6-67fb00046e20,nob,2017,Underveisevaluering,Offentlig forvaltning,,,Intervju,Dokumentstudier,Observasjon,,,,209715
Between two societies,,Evaluering,4c749746-4acb-4a29-bfd1-22d44a73a355,eng,2011,Underveisevaluering,Innvandring og inkludering,CMI-rapport,apr.11,Intervju,Dokumentstudier,Statistikk,,,,361765
Evaluering av finansieringssystemet for universiteter og høyskoler,,Evaluering,4cb5bc12-2860-40df-ba91-c1435834cfd5,nob,2008,Tidsuavhengig evaluering,Utdanning og forskning,Econ-rapport,2008-133,Intervju,Dokumentstudier,,,,,318092
Riksrevisjonens undersøkelse om IKT i sykehus og elektronisk samhandling i helsetjenesten,,Riksrevisjonsrapport,4cf415c0-2f0f-4285-9470-c72e1b4ba6f1,nob,2008,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,3:7 (2007-2008),Intervju,Spørreskjema,Dokumentstudier,,,,232964
Kunnskap om fattigdom i Norge,,Evaluering,4cfcca4d-7f2c-4a48-89b4-c4441d3ce28d,nob,2011,Tidsuavhengig evaluering,Arbeid og velferd,Fafo-rapport,2011:21:00,Dokumentstudier,Statistikk,,,,,200882
Report on Active Management of the Norwegian Government Pension Fund - Norway,,Evaluering,4d0614ec-2d97-41bd-9010-549f92e4ed54,eng,2011,Samfunnsøkonomisk analyse,Økonomi,,,Dokumentstudier,Statistikk,,,,Formler,107348
Overvåking av palsmyr,,Evaluering,4d221120-f8ad-4e3e-8d62-9f792a9f28fe,nob,2006,Underveisevaluering,Miljø,NINA rapport,154,Observasjon,,,,,,58547
"Ungdoms tilhørighet, trivsel og framtidsplaner i Distrikts-Norge",,Evaluering,4d2f74af-0b25-4608-a128-54bce90c4520,nob,2021,Tidsuavhengig evaluering,Kommuner og distrikter,NOVA-rapport,feb.21,Dokumentstudier,Statistikk,,,,,NULL
Innsikt fra Ungdommenes distriktspanel,,Evaluering,4d4a4810-3ea2-434f-afed-8016a945ea55,nob,2020,Tidsuavhengig evaluering,Kommuner og distrikter,Rapport,jan.20,Intervju,,,,,,75689
Comparative study of ID management in immigration regulation,,Evaluering,4d4f051d-f7a0-4a24-8178-7035dc431132,eng,2013,Tidsuavhengig evaluering,Innvandring og inkludering,,,Intervju,Dokumentstudier,Statistikk,,,Personlige intervjuer,368894
Mudringsmetoder for forurenset sjøbunn,,Evaluering,4d53757b-f9c3-44bd-8909-2480a42f1e85,nob,2008,Tidsuavhengig evaluering,Miljø,Teknisk rapport,2008-0476,Dokumentstudier,Observasjon,,,,,66105
Sammenfatning av evalueringsrapporter etter asylkrisen 2015,,Evaluering,4d5dd301-cab4-4cf0-bdc7-1e11e67010b9,nob,2017,Etterevaluering,Innvandring og inkludering,,,Intervju,Dokumentstudier,,,,,49605
Evaluering av friteksttavler i Trondheim,,Evaluering,4d61093c-a817-4b72-9d14-f76968f3fae4,nob,2011,Underveisevaluering,Transport og kommunikasjon,TØI-rapport,1153/2011,Spørreskjema,Dokumentstudier,Observasjon,,,"Brukerevaluering, teknisk evaluering, effektevaluering",695377
Evaluering av tilskuddsordningen for vannmiljøtiltak - generell vannforvaltning,,Evaluering,4d6361ba-dae6-4dfb-8722-29f23840bf22,nob,2017,Etterevaluering,Miljø,Menon-publikasjon,77/2017,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,112410
Belyse helseforetaksmodellens funksjonalitet,,Evaluering,4d73d7b6-c56f-4e02-9e99-2d03c256a5f5,nob,2005,Etterevaluering,Helse og omsorg,,,Intervju,Dokumentstudier,,,,,786993
